accountNumber,moRefId,serverId,connectorId,vCenterId,vCenterName,hostId,vmName,manufacturer,vmFolderPath,toolsStatus,datacenterId,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,vm-557428,d-server-0c9c4908d08c6343b,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-557403,DAS4 Cardinia_Sogsnj-fs01.OBS.PVT,"VMware, Inc.",Datacenters/OMG NA NJ Harborside/vm/DAS4 Cardinia/DAS4 Cardinia_Sogsnj-fs01.OBS.PVT,TOOLS_RUNNING,datacenter-537548,ACTIVE,2018-06-22 17:17:23,2018-09-20 14:52:40
049450565398,vm-449813,d-server-0e8adbd63ee99da58,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-442452,NAIDCADFSMOB2,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/Active Directory/ADFS/NAIDCADFSMOB2,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:33,2018-09-20 14:53:34
049450565398,vm-447216,d-server-08b4a640562bd6c77,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-527663,NYD-OB7D,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/OnBase/Windows 7/NYD-OB7D,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:33
049450565398,vm-417905,d-server-0eddded42e7d20fe1,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-407878,MTLBACKUP,"VMware, Inc.",Datacenters/OMG CA Montreal/vm/MTLBACKUP,TOOLS_RUNNING,datacenter-407871,ACTIVE,2018-06-22 17:17:14,2018-09-20 14:52:42
049450565398,vm-364992,d-server-02ffaf6addc925b24,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-268459,Windows.2012.R2.DC.07.23.15 (MAIN),"VMware, Inc.",Datacenters/OMG NA NY 195/vm/Templates/Windows.2012.R2.DC.07.23.15 (MAIN),TOOLS_NOT_RUNNING,datacenter-159,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:31
049450565398,vm-634257,d-server-0918692098e99afc4,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter.global.com,host-634253,FLSNAIDCCOG02PD,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/1 - Decom/Delete After 30 days/FLSNAIDCCOG02PD,TOOLS_NOT_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:34,2018-07-31 14:58:19
049450565398,vm-627492,d-server-0e5b30e7b57da48c3,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-527663,CTXUSSECFLS01PD,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/Citrix and Apps/PROD/CTXUSSECFLS01PD,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:33
049450565398,vm-477487,d-server-06a50e9c78e602d3e,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-546122,AWSUSSECGVT01PD,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/Backup VMs/AWSUSSECGVT01PD,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:25,2018-09-20 14:52:43
049450565398,vm-567213,d-server-0a5047fd7bd7911ed,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-447265,NAIDCHIAB2,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/Outpost24/New for Migration/NAIDCHIAB2,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:32
049450565398,vm-561130,d-server-05ea4768662584f71,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-546122,NAIDCAXDEV4v,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/AX Dev/NAIDCAXDEV4v,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:24,2018-09-20 14:52:43
049450565398,vm-626044,d-server-09a7c6b226f793296,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter.global.com,host-442452,NAIDCCTX-4,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/Citrix and Apps/NAIDCCTX-4,TOOLS_NOT_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:25,2018-07-10 13:36:03
049450565398,vm-443013,d-server-0c03d97622e7bcc30,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-442410,naidccode42,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/Othe Application/naidccode42,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41
049450565398,vm-629220,d-server-0b7c1dd74eedbfa30,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-557429,FH-DC,"VMware, Inc.",Datacenters/OMG NA NJ Harborside/vm/Fleishman/FH-DC,TOOLS_RUNNING,datacenter-537548,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40
049450565398,vm-439679,d-server-09c9f3542f0072bb7,c-4heds8lucuyrofv2e,D6F0C4BC-1587-46FA-9B3E-DB9753E5DE73,naidcvcenter,host-527660,NAIDCEFAX,"VMware, Inc.",Datacenters/OMG NA NJ Secaucus/vm/STS/NAIDCEFAX,TOOLS_RUNNING,datacenter-425708,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41
